SKU,UPC,Margin Profit,"IMPORT
Price",DSP,Cost,RSP,"Set
Margin","Fresco
Earning","Fresco
Margin","Purchase
Price","Suggested
Retail Price","Retail
Margin"
DUX-PC-POC-iP17Air-BLK,,60%,15.0,17.5,10.0,25.0,80%,8,44%,18,30,40%
DUX-PC-POC-iP17Pro-BLK,,60%,15.0,17.5,10.0,25.0,80%,8,44%,18,30,40%
DUX-PC-POC-iP17ProMax-BLK,,60%,15.0,17.5,10.0,25.0,80%,8,44%,18,30,40%
CK-PC-ABAG-iP17-BLK,,63%,20.0,24.1,13.1,35.0,70%,9,41%,22,42,47%
CK-PC-ABAG-iP17-GRY,,63%,20.0,24.1,13.1,35.0,70%,9,41%,22,42,47%
CK-PC-ABAG-iP17Air-BLK,,63%,20.0,24.1,13.1,35.0,70%,9,41%,22,42,47%
CK-PC-ABAG-iP17Air-GRY,,63%,20.0,24.1,13.1,35.0,70%,9,41%,22,42,47%
CK-PC-ABAG-iP17Pro-BLK,,63%,20.0,24.1,13.1,35.0,70%,9,41%,22,42,47%
CK-PC-ABAG-iP17Pro-GRY,,63%,20.0,24.1,13.1,35.0,70%,9,41%,22,42,47%
CK-PC-ABAG-iP17ProMax-BLK,,63%,20.0,24.1,13.1,35.0,70%,9,41%,22,42,47%
CK-PC-ABAG-iP17ProMax-GRY,,63%,20.0,24.1,13.1,35.0,70%,9,41%,22,42,47%
FRES-PC-AG-iP17ProMax,,71%,20.0,29.1,13.1,45.0,100%,13,50%,26,54,51%
FRES-PC-AG-iP17ProMax,,71%,20.0,29.1,13.1,45.0,100%,13,50%,26,54,51%
FRES-PC-AG-iP17Air,,71%,20.0,29.1,13.1,45.0,100%,13,50%,26,54,51%
FRES-PC-AG-iP17,,71%,20.0,29.1,13.1,45.0,100%,13,50%,26,54,51%
FRES-PC-AG-iP16ProMax,,71%,20.0,29.1,13.1,45.0,100%,13,50%,26,54,51%
FRES-PC-AG-iP16Pro,,71%,20.0,29.1,13.1,45.0,100%,13,50%,26,54,51%
FRES-PC-AG-iP16Plus,,71%,20.0,29.1,13.1,45.0,100%,13,50%,26,54,51%
FRES-PC-AG-iP16,,71%,20.0,29.1,13.1,45.0,100%,13,50%,26,54,51%
FRES-PC-AG-iP15ProMax,,74%,18.0,28.4,11.9,45.0,100%,12,50%,24,54,56%
FRES-PC-AG-iP15Pro,,74%,18.0,28.4,11.9,45.0,100%,12,50%,24,54,56%
FRES-PC-AG-iP15Plus,,74%,18.0,28.4,11.9,45.0,100%,12,50%,24,54,56%
FRES-PC-AG-iP15,,74%,18.0,28.4,11.9,45.0,100%,12,50%,24,54,56%
FRES-PC-AG-iP14ProMax,,74%,18.0,28.4,11.9,45.0,100%,12,50%,24,54,56%
FRES-PC-AG-iP14Pro,,74%,18.0,28.4,11.9,45.0,100%,12,50%,24,54,56%
FRES-PC-AG-iP14,,74%,18.0,28.4,11.9,45.0,100%,12,50%,24,54,56%
FRES-PC-DC-iP17ProMax-BLK,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17ProMax-WHT,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17ProMax-GLD,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17Pro-BLK,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17Pro-WHT,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17Pro-GLD,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17Air-BLK,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17Air-WHT,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17Air-GLD,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17-BLK,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17-WHT,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP17-GLD,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP16ProMax-BLK,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP16ProMax-WHT,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP16ProMax-,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP16Pro-BLK,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP16Pro-WHT,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP16Pro-GLD,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP16-BLK,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP16-WHT,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
FRES-PC-DC-iP16-GLD,,73%,25.0,38.1,16.3,60.0,100%,16,50%,33,72,55%
DUX-PC-FLIP-S/A17-BLK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-S/A17-BLU,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-FLIP-S/A17-PNK,,59%,16.5,19.0,10.9,27.0,55%,6,35%,17,32,48%
DUX-PC-YIND-S/A17-BLK,,73%,10.0,15.9,6.9,25.0,55%,4,35%,11,30,64%
DUX-PC-YIND-S/A17-GRY,,73%,10.0,15.9,6.9,25.0,70%,5,41%,12,30,61%
DUX-PC-YIND-S/A17-BLU,,73%,10.0,15.9,6.9,25.0,70%,5,41%,12,30,61%
DUX-PC-YIND-S/A17-PNK,,73%,10.0,15.9,6.9,25.0,70%,5,41%,12,30,61%
DUX-PC-YIND-S/A17-PRP,,73%,10.0,15.9,6.9,25.0,70%,5,41%,12,30,61%
DUX-PC-AIMO-S/A17-BLK,,75%,9.0,15.6,6.3,25.0,70%,4,41%,11,30,65%
DUX-IC-DOMO-TabS11Ultra-BLK,,57%,45.0,50.6,29.4,68.0,50%,15,33%,44,82,46%
DUX-IC-DOMO-TabS11Ultra-BLU,,57%,45.0,50.6,29.4,68.0,50%,15,33%,44,82,46%
DUX-IC-DOMO-TabS11Ultra-PNK,,57%,45.0,50.6,29.4,68.0,50%,15,33%,44,82,46%
DUX-IC-MAGI-TabS11Ultra-BLK,,58%,52.0,59.2,33.8,80.0,60%,20,38%,54,96,44%
DUX-IC-MAGI-TabS11Ultra-GRY,,58%,52.0,59.2,33.8,80.0,60%,20,38%,54,96,44%
DUX-IC-MAGI-TabS11Ultra-PNK,,58%,52.0,59.2,33.8,80.0,60%,20,38%,54,96,44%
DUX-IC-TOBY-TabS11Ultra-BLK,,54%,48.0,51.5,31.3,68.0,50%,16,33%,47,82,43%
DUX-IC-TOBY-TabS11Ultra-BLU,,54%,48.0,51.5,31.3,68.0,50%,16,33%,47,82,43%
DUX-IC-TOBY-TabS11Ultra-PNK,,54%,48.0,51.5,31.3,68.0,50%,16,33%,47,82,43%
DUX-PC-AIMO-V60-BLK,,75%,9.0,15.6,6.3,25.0,70%,4,41%,11,30,65%
DUX-IC-DK(BLIT)-TabS11-BLK,,59%,175.0,206.3,110.6,270.0,70%,77,41%,188,324,42%
DUX-IC-DK-TabS11-BLK,,57%,165.0,185.8,104.4,240.0,70%,73,41%,177,288,38%
DUX-IC-TK-TabS11-BLK,,60%,100.0,121.5,63.8,160.0,60%,38,38%,102,192,47%
DUX-IC-VERS-TabS11-BLK,,62%,38.0,47.0,25.0,65.0,70%,18,41%,43,78,46%
DUX-IC-VERS-TabS11-PNK,,62%,38.0,47.0,25.0,65.0,70%,18,41%,43,78,46%
DUX-IC-VERS-TabS11Ultra-BLK,,58%,52.0,59.2,33.8,80.0,70%,24,41%,57,96,40%
DUX-IC-VERS-TabS11Ultra-PNK,,58%,52.0,59.2,33.8,80.0,70%,24,41%,57,96,40%
DUX-AAC-PECR-APP3-GRY,,63%,17.0,20.6,11.3,30.0,70%,8,41%,19,36,47%
DUX-AAC-PECR-APP3-CLR,,63%,17.0,20.6,11.3,30.0,70%,8,41%,19,36,47%
DUX-AAC-PECQ-APP3-BLK,,65%,16.0,20.3,10.6,30.0,70%,7,41%,18,36,50%
DUX-AAC-PECQ-APP3-WHT,,65%,16.0,20.3,10.6,30.0,70%,7,41%,18,36,50%
DUX-AAC-PECQ-APP3-WHT/PNK	,,65%,16.0,20.3,10.6,30.0,70%,7,41%,18,36,50%
DUX-AAC-PECQ-APP3-WHT/BLU	,,65%,16.0,20.3,10.6,30.0,70%,7,41%,18,36,50%
DUX-AAC-PECL-APP3-CLR,,72%,12.5,19.2,8.4,30.0,70%,6,41%,14,36,60%
DUX-AAC-PECL-APP3-GRY,,72%,12.5,19.2,8.4,30.0,70%,6,41%,14,36,60%
DUX-AAC-PECL-APP3-PNK,,72%,12.5,19.2,8.4,30.0,70%,6,41%,14,36,60%
DUX-AAC-PECL-APP3-CLR/BLK,,72%,12.5,19.2,8.4,30.0,70%,6,41%,14,36,60%
KDZ-PC-STAN-ZFlip7-TPR,,53%,29.0,29.4,18.8,40.0,50%,9,33%,28,48,41%
