_DATE,"ITEC
_CODE",SKU,UPC,Status,"Import
Price",Tax,"Import
Fee",Rate,DSP,Cost,"
RSP","Profit 
Margin","Ds
Margin","DS
Profit","Fresco
Margin","Fresco
Profit","Net
Earn Ds
(15%)"
8/27/2024,IT-CN-S,DUX-PC-FLIP-i14ProMax-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i14Pro-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i14Pro-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i13-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i13-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i12-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i12-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i11-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i11-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-iXR-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-iSE-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-iSE-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15Plus-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15Plus-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15Plus-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i14ProMax-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i14ProMax-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i14Pro-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i14Plus-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i14Plus-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i14Plus-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i13-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i13ProMax-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i13ProMax-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i13Pro-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i13Pro-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i13Pro-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i13Mini-GLD,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i12ProMax-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i11PRO-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i11PRO-GLD,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i11MAX-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-iXSMax-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-iXS-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-NOTE20U-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-NOTE20U-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23Plus-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23Ultra-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23Ultra-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23Ultra-RG,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23FE-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23FE-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23FE-RG,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S24-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S24-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S24-PNK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S24Plus-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S24Plus-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S24Plus-PNK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S24Ultra-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S24Ultra-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S24Ultra-PNK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A71-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-SA53/5G-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-SA53/5G-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-SA54/5G-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-SA54/5G-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A52-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A52-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A51-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A51-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A25(5G)-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A25(5G)-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A15(4G/5G)-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A15(4G/5G)-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A55(5G)-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A55(5G)-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A35(5G)-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A35(5G)-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S20FE-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S20FE-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S20-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S20-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S20-GLD,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S20-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S21FE-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S21FE-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S21FE-PNK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S22-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S22-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S22-PNK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S22Plus-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S22Plus-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S22Ultra-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S22Ultra-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S22Ultra-PNK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23Plus-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S23Plus-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-SA53/5G-PNK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A42-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A34/5G-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A34/5G-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-M20-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-M20-GLD,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-M20-RG,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A14/5G-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-A14/5G-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A05-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A05-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A05s-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-S/A05s-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor50-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor50-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor50Lite-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor50Lite-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor70-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor70-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor90Lite-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor90Lite-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor90-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor90-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor200-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor200-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor200Pro-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Honor200Pro-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Magic4Pro-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Magic4Pro-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Magic5-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Magic5-BLU,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Magic5Pro-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Magic6Pro-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-Magic6Pro-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-HonorX7/4G-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-HonorX9-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-HonorX8a-BLK,,CLEARANCE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
